IDs: Names
1000: Shewanella putrefaciens (Pseudomonas putrefaciens)
1004: Shigella boydii
1005: Shigella dysenteriae
1006: Shigella flexneri
1007: Shigella sonnei
1013: Sodalis glossinidius
1017: Sphaerobacter thermophilus
1020: Sphingobium japonicum
1024: Spirochaeta thermophila
1027: Staphylococcus aureus
1028: Staphylococcus capitis
1029: Staphylococcus carnosus
1030: Staphylococcus epidermidis
1031: Staphylococcus haemolyticus
1032: Staphylococcus hominis
1033: Staphylococcus lugdunensis
1034: Staphylococcus pseudintermedius
1035: Staphylococcus saprophyticus
1036: Staphylococcus warneri
1039: Starkeya novella
1040: Stenotrophomonas maltophilia
1043: Streptococcus agalactiae
1044: Streptococcus anginosus
1045: Streptococcus australis
1046: Streptococcus bovis (Streptococus equinus)
1047: Streptococcus cristatus
1048: Streptococcus downei
1049: Streptococcus dysgalactiae
1050: Streptococcus equi
1052: Streptococcus gallolyticus
1053: Streptococcus gordonii
1054: Streptococcus infantarius
1055: Streptococcus infantis
1056: Streptococcus mitis
1057: Streptococcus mutans
1058: Streptococcus oralis
1059: Streptococcus parasanguinis
1060: Streptococcus peroris
1061: Streptococcus pneumoniae
1062: Streptococcus pseudoporcinus
1063: Streptococcus pyogenes
1064: Streptococcus salivarius
1065: Streptococcus sanguinis
1066: Streptococcus suis
1067: Streptococcus thermophilus
1068: Streptococcus uberis
1069: Streptococcus vestibularis
1077: Streptomyces griseus
1079: Streptomyces lividans
1085: Streptomyces viridochromogenes
1087: Subdoligranulum variabile
1089: Sulfolobus acidocaldarius
1090: Sulfolobus islandicus
1091: Sulfolobus solfataricus
1092: Sulfolobus tokodaii
1097: Sulfurimonas denitrificans
1099: Sutterella wadsworthensis
1102: Syntrophobacter fumaroxidans
1103: Syntrophobotulus glycolicus
1104: Syntrophomonas wolfei
1105: Syntrophothermus lipocalidus
1106: Syntrophus aciditrophicus
1122: Thermobifida fusca
1124: Thermococcus barophilus
1125: Thermococcus gammatolerans
1126: Thermococcus kodakaraensis
1127: Thermococcus onnurineus
1128: Thermococcus sibiricus
1130: Thermodesulfovibrio yellowstonii
1133: Thermomonospora curvata
1134: Thermoplasma acidophilum
1144: Thermotoga maritima
1146: Thermotoga neapolitana
1151: Thermus thermophilus
1152: Thiobacillus denitrificans
1153: Thiomicrospira crunogena
1164: Ureaplasma parvum
1165: Ureaplasma urealyticum
1167: Veillonella atypica
1168: Veillonella dispar
1169: Veillonella parvula
1176: Vibrio cholerae
1187: Vibrio vulnificus
1193: Weissella paramesenteroides
1194: Wigglesworthia glossinidia
1197: Wolinella succinogenes
1198: Xanthobacter autotrophicus
1201: Xanthomonas campestris
1207: Xylella fastidiosa
1220: Zymomonas mobilis
1221: Colonocyte (host colon)
1222: Goblet cell (host colon)
1223: Hepatocyte (host liver)
2001: [R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)
2002: 1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)
2003: 1,2-Ethanediol (Ethylene glycol)
2004: 1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)
2005: 1,3-Propanediol
2006: 2-Aminobutyric acid (2-Aminobutyrate)
2007: 2-methylbutyrate (2-methylbutanoic acid)
2008: 2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)
2009: 3-phenylpropionic acid (Phenylpropanoate, 3-phenylpropionate)
2010: 4-Aminobenzoate (para-amino, Benzoic acid)
2011: 4-Aminobutyrate (GABA)
2012: 5-Aminovalerate
2013: Acetaldehyde
2014: Acetate
2015: Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)
2016: Acetone
2017: Adenine
2018: Adenosine
2019: Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])
2020: Adipate
2021: Alginate
2022: alpha-ketoglutarate (2-oxoglutarate)
2023: alpha-Linolenic acid (Omega-3 fatty acid)
2024: alpha-Tocopherol (Vitamin E, alpha-Tocotrienol)
2025: Anthranilate (o-amino-benzoic acid)
2026: Arabinogalactan
2027: Arachidate (Arachidic acid)
